# 외장하드 목록 — 라벨 정본. rebuild_backup_sheet.py 가 갱신한다. 라벨 열은 한 번 정해지면 바뀌지 않는다.
# key(serial|uuid)	label	serial	model	wwn	uuids	capacity	first_ts	last_ts	runs	files	GB	scanned_at	note
Z4ZBZE87	RENE-ALL-001	Z4ZBZE87	ST2000DM006-2DM164	0x5000c500b223a870	590a79bc-ffd7-4ae0-9aa0-0ce61b1bda20	1.97 TB	2026-04-17 17:31:24	2026-04-20 08:34:45	203	16424	1495.1	2026-09-12 23:31:12	log-only dirs 539 (data not on this disk)
Z4ZBXG6X	RENE-ALL-002	Z4ZBXG6X	ST2000DM006-2DM164	0x5000c500b223abfe	bf560411-cf2b-4ef2-96f7-a58f5e6a5081	1.97 TB	2026-05-01 10:26:14	2026-05-01 10:26:14	1	3548	1697.4	2026-09-12 23:31:14	
ZK206JXR	RENE-RAW-001	ZK206JXR	ST2000DM008-2FR102	0x5000c500c8b49905	6667eb2b-22bd-4a07-82ea-e5691e54edb7	1.97 TB	2026-05-11 10:41:21	2026-05-11 10:41:21	1	5816	1711.8	2026-09-12 23:58:10	
ZK206KFR	RENE-ALL-003	ZK206KFR	ST2000DM008-2FR102	0x5000c500c8b46c87	dabbd4ca-f573-42ff-a340-e90efda27b7c	1.97 TB	2026-05-14 08:21:04	2026-05-15 21:51:11	18	2258	1847.1	2026-09-12 23:58:10	log-only dirs 1 (data not on this disk)
ZK206K89	RENE-ALL-015	ZK206K89	ST2000DM008-2FR102	0x5000c500c8b47981	33de27bb-4c7a-4a02-ad29-a935771174bd	1.97 TB	2026-05-19 12:33:36	2026-05-20 21:27:54	18	2149	1777.8	2026-09-13 00:09:36	log-only dirs 75 (data not on this disk)
ZK206KLK	RENE-ALL-016	ZK206KLK	ST2000DM008-2FR102	0x5000c500c8b46607	0e9954b1-cba8-4bc3-9bed-4a0e9489f25d	1.97 TB	2026-05-21 04:44:35	2026-05-24 04:20:51	22	2008	1778.2	2026-09-13 00:09:38	
ZK205Z8S	RENE-ALL-017	ZK205Z8S	ST2000DM008-2FR102	0x5000c500c8b2b0d9	8a695c04-f6e9-4776-b383-2398bab1c2f5	1.97 TB	2026-05-26 04:45:34	2026-05-27 20:40:31	18	1118	1766.8	2026-09-13 00:21:05	
ZFL3GKA0	RENE-ALL-018	ZFL3GKA0	ST2000DM008-2FR102	0x5000c500c8b52ed1	376ab6d1-70bc-4bba-b7ef-2e498fd6afb3	1.97 TB	2026-05-29 08:31:23	2026-06-03 09:41:23	10	1844	1773.3	2026-09-13 00:21:06	
ZFL3GKNN	RENE-ALL-019	ZFL3GKNN	ST2000DM008-2FR102	0x5000c500c8b51a75	52dcb9c0-7877-46ee-b34c-fc32442cf362	1.97 TB	2026-06-07 15:49:57	2026-06-17 04:43:49	422	137929	1780.3	2026-09-13 00:27:09	log-only dirs 2 (data not on this disk)
ZFL3GH36	RENE-ALL-022	ZFL3GH36	ST2000DM008-2FR102	0x5000c500c8b5a2b6	71e20b6e-5641-44e8-b3d9-3bf73e9a124c	1.97 TB	2026-08-06 06:19:01	2026-08-17 03:45:38	35	24240	1863.9	2026-09-13 00:46:17	
