#run	pos_mm	source   (2025-11 선원 런. pos = 굴뚝 위 시작점 0 mm 에서 아래로, 800 mm = 타겟 아크릴 바닥 약 1 cm 위. ★ 이때 LS 에 Gd 가 없었다 -- 포획은 n-H)
2811	0	AmBe
2812	50	AmBe
2813	100	AmBe
2814	150	AmBe
2815	200	AmBe
2816	250	AmBe
2817	300	AmBe
2818	350	AmBe
2819	400	AmBe
2820	450	AmBe
2821	500	AmBe
2822	550	AmBe
2823	600	AmBe
2824	650	AmBe
2825	700	AmBe
2826	750	AmBe
2827	800	AmBe
2830	100	AmBe
2791	50	AmBe
2809	800	AmBe
2876	0	Cf252
2877	50	Cf252
2878	100	Cf252
2879	150	Cf252
2880	200	Cf252
2881	250	Cf252
2884	350	Cf252
2885	400	Cf252
2886	450	Cf252
2888	500	Cf252
2889	550	Cf252
2890	600	Cf252
2892	650	Cf252
2893	700	Cf252
2894	750	Cf252
2895	800	Cf252
2858	50	Cf252
2875	800	Cf252
4332	-1	physics
